ŠIFRA,VRSTA,ČLANEK,VSEBINA,LINK
75/10,Domača izdelava,"Glas (10.06.1975, letnik 28, številka 44)
in Glas (01.08.1975, letnik 28, številka 57)",V Iskri so s pomočjo IJS izdelali prvi domači procesni računalnik za krmiljenje elektronskih  telefonskih central',"https://www.dlib.si/stream/URN:NBN:SI:DOC-XKRIRBIN/35fce8cb-a04b-4d4a-ac94-ddf39510f0ee/PD
https://www.dlib.si/stream/URN:NBN:SI:DOC-8PWEUELS/a44a0b5e-1607-4e84-8b9d-217ba94cb497/PDF"
75/19,Domača izdelava,"Sobotna priloga (08.02.1975, letnik 17, številka 32)",">>O integriranih vezjih
'Iskra in Rockwell podpisala načelni sporazum o sodelovanju v mikroelektroniki.. Iskra bo poslej izdelovala MOS/LSI integrirana vezja.. Gre za kovinsko oksidni polprevodnik.. na rezine silicijevih kristalov pri visoki temperaturi spravijo oksid nato pa z jedkanjem in difuzijo in naparjanjem kovine skozi vrsto mask izoblikujejo vrsto integriranih vezij, ki jih potem razlomijo na delce-chip-e'
'Integrirano vezje je pomanjšano elektronsko vezje, kjer se po različnih postopkih formirajo številni aktivni in pasivni elementi, ki so med seboj povezani z ustreznimi prevodnimi potmi'
'Zankrat je izmeček v proizvodnji čipov izredno visok, zato je večji del od proizvodnje prav natančno preizkušanje in montaža'
'Že zdaj na naši Elektrotehniški fakulteti v laboratoriju izdelujejo chipe'
'Žepni kalkulator HP-60 sta zasnovala slovenska inženirja Fazarinc in Rode'",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-OR6XJ392/14/index.html
75/26,Domača izdelava,"Delo (05.06.1975, letnik 17, številka 130)",">>Iskra in IJS in EF izdelali dva prototipa procesnega računalnika 1600 in 3200
'Zdaj se že pripravlja na proizvodnjo. Integrirana vezja, spominski bloki in vhodno izhodne naprave so uvožene, pa še to nameravajo v precejšnji meri izdelovati doma''Sestavljajo samostojen računski center, ki bo do konca leta imel 5 računalnikov za testiranje izdelanih naprav za uporabo v avtomatskih telefonskih centralah''Razmišljajo o razširitvi proizvodnje na računalnike za industrijo, energetiko, promet''Iskra namerava ponuditi trgu tudi male računalniške sisteme za poslovno rabo'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-F9R9OGSJ/2/index.html
75/35,Domača izdelava,"Sobotna priloga (27.12.1975, letnik 18, številka 301)",">>Pogled na računalništvo in naša elektrotehnična podjetja
'Mikroračunalniki bodo prodrli na vsa področja industrije in znanosti in v naše domove''V Yu 1967 110, 1970 276, 1973 506, Oktobra 1975 pa vsega 610 računalnikov''Pomembno je, da so računalniki, ki jih uvažamo, kompatibilni. 
'Iz Inštituta Mihajlo Pupin pravijo: Sami lahko konstruiramo računalnike z nekaj sodelovanja in pomoči.. Odločiti se moramo, da bomo proizvajali nacionalni računalnik'
'Imamo El Niš, RIZ, Rudi Čajevec in Iskro.. ni sodelovanja, programi proizvodnje pa se prekrivajo'
'Iskra izdeluje procesne elektronske računalnike 1600 in 3200 in vmesnike za aplikacijo v telekomunikacijskih sistemih.. pa tudi programsko opremo za to opremo''Razvoj v sodelovanju z FE, IJS in VTŠ Maribor''Naslednji korak Iskre je uvesti male računalniške sisteme in aktivne terminale za organizacijsko-poslovne namene, ter naprej razvijati procesno računalniško tehnologijo in uporabo mikroprocesorjev'",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-33E16745/12/index.html
76/25b,Domača izdelava,"Delo (23.04.1976, letnik 18, številka 96)",">>Sporazum Iskre in Philipsa o kooperacijski proizvodnji malih/srednjih računalnikov in opreme
'Prizvodnja bo stekla že letos v Kranju, v Ljubljani pa se bo organizirala močna strokovna služba za nudenje porogramske opreme in servisa, vanjo bo vključena ekipa Commerca, ki je doslej opravljala to dejavnost. Iskra prevzema obveznost vzdrževanja že prodane Philipsove opreme v Jugoslaviji'
'Domačim kupcem bodo tako tudi kmalu za dinarje na voljo računalniki z vso potrebno opremo'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-YQ50FO44/4/index.html
76/38,Domača izdelava,"Delo (29.09.1976, letnik 18, številka 228)",">>Novost iz IJS
'Avtomatska ekološka postaja z mikroračunalnikom, ki omogoča neprekinjeno merjenje, prenos in sprotno obdelavo različnih pofdatkov o kakovosti zraka in voda'
>>Fotografija in mikroelektronika",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-26FG3NQ1/4/index.html
76/39,Domača izdelava,"Delo (09.10.1976, letnik 18, številka 237)",">>Univerzalni mikroračunalniški analizator podatkov izdelan na IJS po naročilu Tovarne elektronskih merilnih inštrumenotv Horjul
'Plod uspešnega poslovnega sodelovanja med IJS in Iskra je tudi domači patent'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-NVAUXN0O/2/index.html
77/23,Domača izdelava,"Delo (24.05.1977, letnik 19, številka 118)",">>Iskra in CDC
'Podpisali 10 letno pogodbo o poslovno-tehničnem sodelovanju, kar pomeni da bomo iz Iskrinih tovarn kmalu dobili prve manjše domače računalnike.. centralne enote bodo proizvajali v Iski, periferne enote in pomožne enote iz serije Cyber 18 pa bo priskrbel CDC'
'Iskra tako razširja proiizvodnjo iz procesnih telekomunikacijskih računalnikov na poslovne in druge'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-VJ74IZ89/4/index.html
77/39,Domača izdelava,"Delo (07.10.1977, letnik 19, številka 233)",>>Mikroprocesorske avtomatske meteorološke postaje izdelani na IJS,http://www.dlib.si/listalnik/URN_NBN_SI_DOC-50V87KUI/8/index.html
77/44,Domača izdelava,"Delo (22.11.1977, letnik 19, številka 271)",>>Iskra in PAP + IJS pripravljajo računalniško upravljane semaforje,http://www.dlib.si/listalnik/URN_NBN_SI_doc-F3JCFTPJ/10/index.html
SDK/01,Javna uprava,Služba Družbenega Knjigovodstva SDK Zgodovina >>,,https://sdk-tezaurus.blogspot.com/
FLRJ/01,Javna uprava,Magistrska Dejan Šemrov>>,,http://www.cek.ef.uni-lj.si/magister/semrov4765.pdf
MNZ/01,Javna uprava,"MNZ>>
Od mehanografske obdelave podatkov do Schengna","1957 se je začela strojna oz. mehanografska obdelava podatkov' 'potekala na strojih Zavoda za statistiko in podjetja Organizator, kasneje RSNZ stroje najel oziroma 1963 odkupil'
1968 poskusne obdelave podatkov na elektronskem računalniku IBM v organizacijah (DES,
Ljubljanska banka, Slovenija vino)' 
'1972 RSNZ dobil v najem prvi elektronski računalnik IBM 360/25.' '1976 pa dobi IBM 370/145 z možnostjo terminalne mreže'
'leta 1979 nabavljen dodatni računalnik IBM 3031.'",https://www.policija.si/images/stories/Publikacije/PDF/50LetInformatike.pdf
MNZ/02,Javna uprava,Uroš Lipovšek-Uvajanje novih tehnologij pri operativnem delu policije,,https://repozitorij.uni-lj.si/Dokument.php?id=100105&lang=slv
60/01,Javna uprava,"Delo (19.02.1960, letnik 2, številka 48)",">>Pomoč pri organizaciji podjetij
'Oddelek za organizacijo dela pri Zavodu za izobraževanje v Kranju bo razširil svojo dejavnost na organizacijsko tehničnem in ekonomsko analitičnem področju.''Uvajanje sodobnih organizacijskih principov, morda uvedba strojne obdelave podatkov v podjetjih iz skupnega centra za mehanografijo''Začetne priprave, če bodo podjetja zainteresirana'",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-3EXNPX9W/6/index.html
60/06,Javna uprava,"Tedenska tribuna (12.10.1960, letnik 8, številka 41)",">>V Beogradu zaživel elektronski statisični center z računalnikom IBM 705
'Center ne more zamenjati 6000 statistikov.. bo pa povečal porduktivnost statistike. Občine bodo lahko že v roku 10 dni prejele rezultate zbranih podatkov. Popis iz leta 1953 se šele zdaj zaključuje, z novim računalnikom pa bi bil lahko opralvjen v sedmih mesecih. Ogromne gore papirja bodo zdaj lahko spravljene na magnetnih trakovih.'",https://www.dlib.si/listalnik/URN_NBN_SI_DOC-H6RWPUBT/6/index.html
61/04,Javna uprava,"Delo (01.01.1961, letnik 2, številka 1)
 in Delo (29.12.1973, letnik 15, številka 352)",>>Obisk elektronskega centra v Beogradu IBM 705,"https://www.dlib.si/listalnik/URN_NBN_SI_doc-VTE3YC2L/8/index.html
https://www.dlib.si/listalnik/URN_NBN_SI_doc-HYBQL16U/6/index.html"
61/07,Javna uprava,"Delo (29.07.1961, letnik 3, številka 205)",">>Mehanizacija bančnega poslovanja
'Narodna banka, predvsem v Sloveniji, si že več let prizadeva, da bi v celoti mehanizirali obdelavo. Prvi uspehi pretekli mesec, ko so ustanovili Knjigovodski center sedmih ljubljanskih podružnic NB, ki mehanizirano obdeluje vse bančne podatke za Ljubljano. Center bo nabavil 12 knjigovodskih strojev znamke National, 6 dosedanjih znamke Astra pa bodo odstopili centru v Mariboru.. Pripravljajo ustanovitev več takih centrov.. še v Kranju s stroji Siemag in v Novem Mestu s stroji Olivetti. Obdelava na teh strojih omogoča nadaljno obdelavo na visoki mehanografiji na strojih IBM po principu luknjanih kartic. V načrtu je menjava teh strojev za elektronski sistem IBM 1401, ki bi olajšal nadaljno obdelavo v elektronskem centru v Beogradu na računalniku IBM 705.'
'V nižji in srednji mehanografiji Narodne banke je kar 22 različnih znamk strojev. Komisija si je ogledala mehanizacijo v Nemčiji in Italiji'",https://www.dlib.si/listalnik/URN_NBN_SI_doc-OC0HBHJF/2/index.html
64/09,Javna uprava,"Delo (22.03.1964, letnik 5, številka 80)
in Delo (08.04.1964, letnik 5, številka 97)",">>Gospodarjenje in računski stroji.. Simpozij mehanografije
Dobro obiskan, sodelujejo iz cele države Jesenic, Kranja, Celja..","http://www.dlib.si/listalnik/URN_NBN_SI_DOC-CEQ1YBUK/14/index.html  
http://www.dlib.si/listalnik/URN_NBN_SI_doc-L2NHEK4B/2/index.html"
66/11,Javna uprava,"Iskra (1966, letnik 5, številka 19)",">>Razširjeni kolegij o mehanografiji
'..udeleženci razširjenega kolegija so si ogledali računski center pri Zavodu za statistiko SRS, katerega direktor jim je podrobneje razložil delovanje aparatur.'",http://www.dlib.si/stream/URN:NBN:SI:DOC-HALMHFXE/d7e92051-2f1a-40fb-9d62-b6169a106a78/PDF
66/15,Javna uprava,"Delo (29.10.1966, letnik 7, številka 295)",">>Sodobna mehanografija tudi v javni upravi
'Upravo je treba najprej organizacijsko pripraviti za delo z elektronskimi napravami''Ena izmed idej je, da bi se elektronski center razvil ob Zavodu za statistiko RS. 'Interesenti so poleg javne uprave tudi organizacije kot socialno zavarovanje, zavarovalnice, politične organizacije itd'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-ZBKW4Y9O/2/index.html
67/18,Javna uprava,"Delo (27.04.1967, letnik 9, številka 114)",">>Posvetovanje o uporabi metod operacijskega raziskovanja
'Izsledki simpozija iz mehanografije Društva ekonomistov Ljubljana in Gospodarske zbornice SRS iz leta 1964 je našel svoj odmev in pozitivne posledice v vsej SFRJ'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-MDYVVFQE/2/index.html
68/05,Javna uprava,"Delo (08.10.1968, letnik 10, številka 276)",">>Otvoritev Republiškega računskega centra
'Oktobra 1968 odprli no elektronski računski center katerega solastniki in soplačniki so Izvršni svet SRS, Iskra Kranj, Univerza v Ljubljani, Inštitut Jožef Stefan in Inštitut za matematiko, fiziko in mehaniko'
'Zdaj je v Iskrini tovarni elektronski naprav v Stegnah montirana začasna naprava, ki jo bodo kmalu zamenjali z drugo zmogljivejšo'
'V centru lahko opravljajo več zahtenih delovnih nalog hkrati, tako bo lahko omogočil enovito poslovanje šolstva, davčne službe, statistike ali drugih javnih in upravnih služb v republiki. Pravtako bo v oporo in pomoč znanstvenikom in strokovnjakom z inštitutov ali industrije.''Izšolali so strokovnjake, ki bodo upravljali z napravami in skrbeli za njihovo vzdrževanje'
'Takšni stroji, kot je ta, bodo upajmo, pomagali, da bodo v administraciji poslej poslovali hitreje in bolj kakovostno'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-EMXPT2FW/20/index.html
68/12,Javna uprava,"Delo (14.12.1968, letnik 10, številka 340)",">>Združuje se davčni aparat, medtem ko se mehanografija in poslovni prostori ne urejajo",http://www.dlib.si/listalnik/URN_NBN_SI_doc-LHEY5TDM/22/index.html
68/13,Javna uprava,"Delo (17.12.1968, letnik 10, številka 343)",">>Nadalje glede združitve, kritika lokalizma
'Mestna davčna služba s temeljito organizacijo in specializacijo ter mehanografijo je postala imperativ našega časa''V tej smeri je nujno izvršiti potrebne priprave, da se služba oblikuje na modernih principih z uporabo mehanografijo in uvedbo racionalizacije v poslovanje.'",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-32SP1M6M/20/index.html
68/14,Javna uprava,"Delo (18.10.1968, letnik 10, številka 286)",>>Skupen dokumentacijski center,http://www.dlib.si/listalnik/URN_NBN_SI_doc-9LN2RF63/2/index.html
68/15,Javna uprava,"Delo (27.11.1968, letnik 10, številka 325)",">>O potrebni tehnološki modernizaciji v PTT
'Treba postopoma vpeljat sodobna sredstva, bodisi mehanografska, elektronske računske centre ipd.''Težišče na uvajanju ustrezne organizacije''Uporaba elektronike v PTT bo izzvala revolucijo tako v procesu informiranja kot odločanja.'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-9NC9E82W/4/index.html
68/16,Javna uprava,"Tribuna: študentski časopis (1968/1969, letnik 18, številka 10)",">>Obdelava podatkov v Sloveniji
'Najpomembnejši vzrok zaostajanja je miselnot in bojazen za položaj  ljudi v vodstvu in administraciji. Ti navadno niti v grobem ne poznajo strojne obdelave podatkov in njenih možnosti ter se je zato baje. Svojega načina dela in mišljenja niso pripravljeni spremeniti'
'Niti na republiškem nivoju ni bilo nikakršne institucije, ki bi sistematično skrbela za skiaden in uspešen razvoj. Računske oz.elektranske stroje kupujejo več ali manj stihijsko'
'Z ustreznimi informacijami in svetovanjem bi bila obdelava podatkav marsikje cenejša'",http://www.dlib.si/stream/URN:NBN:SI:DOC-LQF1J3TW/1b7e0613-4d02-4d17-8cf1-d39ed323245e/PDF
68/17,Javna uprava,"Glas (13.04.1968, letnik 21, številka 29)",>>Seminar o operacijskem raziskovanju,http://www.dlib.si/stream/URN:NBN:SI:DOC-DWSXNILP/c4ebd19c-00f1-4626-9946-7f4e7b145aa4/PDF
69/17,Javna uprava,"Dolenjski list (09.10.1969, letnik 20, številka 41)",">>Marca letos tudi CDC 3300
'Želimo si, da bi časniki pomagali, da bi stroj še bolj prišel do izraza, da bi ga uporabili tudi tisti, ki zdaj skoraj ne vedo zanj'
'Razen ljubljanskega mestnega sveta in mariborske občinske skupščine se druge slovenske občine zanj skoraj ne zanimajo''Javne služne niso dovolj pripravljene, kataster je iz časa Marije Terezije'
'Razen Iskre in IJS se računalnika ne poslužuje nobena druga organizacija'
'Računalnik obdeluje tudi republiško statistiko'
'Računalnik je prilagojen za področja kot so obračun osebnega dohodka, kataster, register prebivalstva, materialno poslovanje podjetij, dokumentacija in vseh mogočih statistik, pregledov, diagramov'
'Marsikatero podjetje je pravi čas spoznalo prednosti računalnikov in so si kupili m anjše stroje, ki so jih namenili lastnim potrebam, tudi nekatere občinske skupščine, pri tem so pozabili, da majhen stroj rešuje majhne naloge. Da potrebuje za majhen stroj organizator/programer več časa, da pripravi podatke. Marsikje so na strokovnjake sploh pozabili in stroji niso izkoriščeni'
'Načrtujemo, da bi v različnih krajiih Slovenije pri naročnikih priklopili terminale preko katerih bi potrošniki centra posredovali podatke po telefonski liniji in bi nazaj prejemali obdelane podatke'",https://www.dlib.si/stream/URN:NBN:SI:DOC-EM4VS2IQ/34777689-1763-4d96-9fbc-de495e4de241/PDF
69/31,Javna uprava,"Delo (05.11.1969, letnik 11, številka 303)",">>Posvet o uvajanju elektronskih sistemon v našo javno upravo
'dr.Lado Vavpotič''Cene sredstev presegajo potrebe in možnosti, edina možnost je zato uvedba elektronskih centrov, ki bi se povezovali z istovrstnimi centri na državni ravni''uvedba avtomatske obdelave podatkov ni združkjiva z dosedanjo organizacijo''aop bi lahko uporabljali za register prebivalstva z vsemi potrebnimi evidencami in kartotekami, pri finančnih in davčnih službah, pri problematiki gradbeništva in urbanizma vključno s katastrom, v dokumentacijski službi, pri uporabi znanstvenih metod in kibernetičnih modelov pri upravnem delu'
'potrebne bodo obširne študije preden se bomo odločili za sistem, posebna pozornost pa izobraževanju kadra'
>>Članek o Nordungu",http://www.dlib.si/listalnik/URN_NBN_SI_doc-KRHVP28T/2/index.html
69/32,Javna uprava,"Tedenska tribuna (25.09.1969, letnik 17, številka 39)",>>PTT.. v Sloveniji treba nemudoma ustavit novo vključevanje avtomatskih central in priključkov,http://www.dlib.si/listalnik/URN_NBN_SI_DOC-4S5J4BI4/index.html
69/36,Javna uprava,"Delo (01.03.1969, letnik 11, številka 58)",">>Uvajanje znanosti in moderne organizacije dela v proizvodnjo
'Pri uvajanju visoke mehanografije v gospodarstvu je čutiti pomanjkanje družbenega dogovora. Uvažamo različne mehanografske sisteme, katerih vsah zahteva seveda tudi različne vrste programiranja in izobraževanja kadrov'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-OTW1O2V4/2/index.html
69/38,Javna uprava,"Delo (26.03.1969, letnik 11, številka 83)",>>SDK evidenco in obračunavanje prometnega davka bo kmalu zmogel samo še elektronski računalnik,http://www.dlib.si/listalnik/URN_NBN_SI_doc-SYRDEC2J/2/index.html
70/18,Javna uprava,"Delo (11.07.1970, letnik 12, številka 185)",>>Kibernetika za inšpektorje,http://www.dlib.si/listalnik/URN_NBN_SI_DOC-E4LP6C0K/18/index.html
70/24,Javna uprava,"Sobotna priloga (19.12.1970, letnik 12, številka 343)",>>Svarilo pri uporabi tehnologije in elektronskih registrov na primeru Švedske,http://www.dlib.si/listalnik/URN_NBN_SI_DOC-6603ZXIG/8/index.html
70/34,Javna uprava,"Delo (06.06.1970, letnik 12, številka 151)",">>Računalnik v Insštitutu JLA
'Danes začel delovat nov zmogljiv računalnik na inštitutu JLA uvožen iz Francije, uporabljale pa ga bodo tudi druge znanstvene ustanove, fakultete, delovne organizacije.''Nov računalnik bo zamenjal starega, ki neprekinjeno dela v dveh izmenah že od 1960'",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-4C2PYUW8/2/index.html
70/35,Javna uprava,"Delo (24.08.1970, letnik 12, številka 229)",">>Jugoslovanska carina se pripravlja na uvdbo elektronskih računalnikov
'Program modernizacije 71-75 predvideva ustanovitev elektronskega centra''Računalnike bi uporabljali za obračunavanje carinskih dajatev in vodenje evidenc'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-NGIA0U5Q/4/index.html
70/39,Javna uprava,"Naša skupnost (1970, letnik 11, številka 5)","Znano je, da upravni organi ljubljanskih občin glede modernizacije in opremljenosti zaostajajo za drugimi občinami po Sloveniji in Jugoslaviji. Že letos bodo uvedli strojno obdelavo podatkov in opravil..''V priprvai predlog o ustanovitvi skupine, katere naloga bo uvajati elektronkso obdelavo podatkov, ki so v pristojnosti upravnih organov občin in mesta'",http://www.dlib.si/stream/URN:NBN:SI:DOC-IN5YKQT8/36b50170-aa7f-488f-b178-c6670d09cd1f/PDF
