navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,popisovalec,stanje,zgodovina,polica
,,nosilec podatkov,BASF,Magnetni trak,30,30,3,,,mateja,"Vidna nalepka VMS 5-4-2 BAC/IMA X of 2. Na njem je tudi ena nalepka, ki pa je odtrgana. Prilepljena nalepka DAS/DER MUSEUM. Na zadnji strani nalepka n226ls344 (morda serijska?).",,D3-6
,,nosilec podatkov,BASF,Magnetni trak,30,30,3,,,mateja,"Vidna nalepka VMS S-4-2 BAC/IMA X of 2. Na njem je tudi ena nalepka, ki pa je odtrgana - nič se ne vidi besedila. a zadnji strani nalepka n225ls102 (morda serijska?).",,D3-6
,,nosilec podatkov,neznan,Magnetni trak,22,22,3,,,mateja,Zgoraj nalepka UMD o13. Zadaj nalepka M25E HF 26 0 WAI in 16D-634CA22 B03.,,D3-6
,,nosilec podatkov,Memorex,Magnetni trak,27,27,3,,,mateja,"Zgoraj nalepka UMD o12 in na oranžnem obodu napis proizvajalca. Na strani, na kolutu tudi vidna nalepka 012. Zadaj nalepka s slabo vidnim napisom.",,D3-6
,,nosilec podatkov,Memorex,Magnetni trak,27,27,3,,,mateja,Zgoraj nalepka WL 0216 in srebrna nalepka proizvajalca. Ob strani tudi nalepka 0216. Zadaj nalepka IN25E HU 3902 WAI.,,D3-6
,,nosilec podatkov,neznan,Magnetni trak,22,22,3,,,mateja,Zgoraj nalepka UMD o14. Zadaj nalepka M25E HF 26 0 WAI in 16D-634CA22 B03.,,D3-6
,,nosilec podatkov,Memorex,Magnetni trak,22,22,3,,,mateja,Zgoraj nalepka UMD o20 in na oranžnem obodu ime proizvajalca. Zadaj nalepka M25E HF 26 0 WAI in 16D-634CA22 B03.,,D3-6
,,nosilec podatkov,IBM,Magnetni diski,37,37,8,,,mateja,Z modrim ročajem. Nalepka MERK58. Tudi na obodu nalepka 111111 MERK 58.,,D3-6
,,tiskalnik,fujitsu,dx2200,50,35,10,1987,ma 114804,bostjan,zadaj inv st 6676,ff,D3-6
,,tiskalnik,nec,pinwriter p5300,55,35,12,1989,604119222,bostjan,"zadaj inv st 2433, odlomljen en nosilec za papir",ff,D3-6
,,Računalnik,apple,power mac g4,15,40,40,,ck237jf3mm7,bostjan,"zgoraj ostanki nalepk, spredaj ""burda doo"" in ""mac004""",,D3-6
,,Računalnik,apple,power mac g4,15,40,40,,ck244h73nlr,bostjan,"spredaj nalepka ""mac017"" in ""burda doo"" in morska zvezda",,D3-6
,,Računalnik,apple,macintosh performa 5200,30,40,40,,825-3089-a,bostjan,zadaj s crnim flomastrom 2073 in modra nalepka cp42208 ki odpada,,D3-6
,,monitor,ibm,p92,40,40,40,1998,55-00931,bostjan,velik crn monitor,,D3-6
,,tiskalnik,epson,lq-400,40,30,10,,0eg7003406,bostjan,"spredaj ostanki napisa ""epson 2""",ff,D3-6
,,vnosna naprava,hewlett packard,tipkovnica,40,20,4,,mx03065781,bostjan,ps/2,ff,D3-6
,,vnosna naprava,hewlett packard,miska,4,8,3,1994,lt463n00934,bostjan,"ps/2, tri gumbi, dolg kabel",ff,D3-6
,,Računalnik,hewlett packard,712/60,6,40,40,1994,3342g08767,bostjan,noga ga drzi pokonci,ff,D3-6
,,tiskalnik,hewlett packard,laserjet 5l,30,25,25,1994,cnvm475465,bostjan,nalepka ekonomske fakultete,gortan,D3-6
,,monitor,hewlett packard,a4032a,30,40,30,1994,jp01016201,bostjan,bp,gortan,D3-6
,,Računalnik,autronic,486/40,15,35,30,,9421004,bostjan,"nalepka ekonomske fakultete, ""assembled in slo""",gortan,D3-6
,,vnosna naprava,atari,miska,5,8,2,,a1 5184559,bostjan,,ff,D3-6
,,vnosna naprava,atari,miska,5,8,2,,p1575074529,bostjan,pocast kabel,ff,D3-6
,,vnosna naprava,atari,miska,5,8,2,,a1 5027042,bostjan,olupljen konektor,ff,D3-6
,,vnosna naprava,atari,miska,5,8,2,,a2935338243,bostjan,bolj siva,ff,D3-6
,,Računalnik,ibm,netvista,30,30,10,,kdcc2wx,bostjan,ob strani pise klinicni center,,D3-6
,,monitor,elektronika velenje,,30,30,30,,,bostjan,"porumenel, spredaj napis low radiation na predalcku",bostjan,D3-6
,,komponenta,commodore,napajalnik,11,16,9,,391029-03,mateja,"Lepo ohranjen, zadaj črno stikalo za vklop. Počiščen (Aleš Erman)",,D3-6
,,komponenta,Atari,napajalnik,8,12,7,1985,T40/E,mateja,"Lepo ohranjen, črn. Nemški. Na zadnji strani nalepka 85016.",,D3-6
,,komponenta,Atari,napajalnik,8,12,7,1986,T40/E,mateja,"Lepo ohranjen, črn. Nemški.",,D3-6
,,komponenta,Atari,napajalnik,9,18,7,1985,T40/E,bostjan,"Lepo ohranjen, črn. Nemški. Na zadnji strani nalepka 85019. Na strani pa še nalepka z 1679 (že malce odlepljena)",,D3-6
,,komponenta,Astec,napajalnik,8,16,5,1991,897048459,mateja,Lepo ohranjen.,,D3-6
,,komponenta,commodore,napajalnik za A500,11,16,8,,312 503-03,mateja,"Lepo ohranjen, zadaj črno stikalo za vklop. Klasične barve.",,D3-6
,,komponenta,commodore,napajalnik za c128,11,16,8,1987,310 416-03,mateja,"Zelo umazan, poškodovan.",,D3-6
,,komponenta,commodore,Adapter za TV A520,5,14,3,,MT2 019256,mateja,"Zelo lep, z enim kablom. Zadaj nalepka proizvajalca.",,D3-6
,,komponenta,Apple,napajalnik za Macintosh Powerbook M5140Z,6,10,5,,160185,mateja,"Dobro ohranjen. Se uporablja za modele M5409, M5416, M1506, M3050 in M3052.",,D3-6
,,komponenta,Apple,napajalnik za Macintosh Powerbook M3037,6,13,4,,1975341824,mateja,Dobro ohranjen.,,D3-6
,,vnosna naprava,Atari,Joystick CX40,9,9,12,,73 PI,mateja,"Lepo ohranjen, s kablom, na katerem na konektorju za v računalnik piše Atari, Taiwan in 73 PI.",,D3-6
,,vnosna naprava,Atari,Joystick CX40,9,9,12,,78 PI,mateja,"Lepo ohranjen, s kablom, na katerem na konektorju za v računalnik piše Atari, Taiwan in 78 PI.",,D3-6
,,vnosna naprava,Atari,Joystick CX40,9,9,12,,GB 9,mateja,"Lepo ohranjen, s kablom, na katerem na konektorju za v računalnik piše Atari, Taiwan in GB 9.",,D3-6
,,vnosna naprava,Atari,Joystick CX40,9,9,12,,GB 48,mateja,"Lepo ohranjen, s kablom, na katerem na konektorju za v računalnik piše Atari, Taiwan in GB 48.",,D3-6
,,vnosna naprava,Atari,Joystick CX40,9,9,12,,FS 2,mateja,"Lepo ohranjen, s kablom, na katerem na konektorju za v računalnik piše Atari, Taiwan in FS 2.",,D3-6
,,vnosna naprava,Atari,Joystick CX40,9,9,12,,15,mateja,"Lepo ohranjen, s kablom, na katerem na konektorju za v računalnik piše Atari, Taiwan in 15.",,D3-6
,,vnosna naprava,neznan,Joystick,11,11,18,,GB 3,mateja,"Lepo ohranjen, s kablom, na katerem na konektorju piše GB 3",bil v škatli skupaj z ZX Spectrumom inv. št. 264.,D3-6
,,vnosna naprava,Kempston Micro Electronics Ltd.,Vmesnik za joystick,10,8,1,,,mateja,Lepo ohranjen. Idealno se vtakne na joystick s prejšnje vrstice. ,bil v škatli skupaj z ZX Spectrumom inv. št. 264.,D3-6
,,vnosna naprava,Kempston Micro Electronics Ltd.,Vmesnik za joystick,10,8,1,,,mateja,Lepo ohranjen. Na zadnji strani nalepka proizvajalca.,,D3-6
,,vnosna naprava,SVI,Joystick Quickshot (model 318-102),13,10,18,,,mateja,"Lepo ohranjen. Na spodnji strani ime proizvajalca, model. ",,D3-6
,,vnosna naprava,Anitech,Joystick,10,9,17,,,mateja,Lepo ohranjen.,,D3-6
,,vnosna naprava,QJ,Joystick QJ I Turbo,11,9,16,,GB 101,mateja,"Lepo ohranjen. Na spodnji strani ime proizvajalca, model. ",,D3-6
,,vnosna naprava,SVI,Joystick Quickshot (model Quickshot I),11,9,16,,,mateja,"Lepo ohranjen. Zgoraj piše Quickshot. Na spodnji strani ime proizvajalca, model. ",VH00042,D3-6
,,vnosna naprava,neznan,Joystick,13,8,16,,,mateja,Lepo ohranjen. S kablom mavričastih barv. Zgoraj piše ADS. Spodaj pobarvan z belo. ,,D3-6
,,vnosna naprava,neznan,Joystick,13,8,16,,,mateja,Lepo ohranjen. S kablom mavričastih barv. Zgoraj piše ADS.,,D3-6
,,vnosna naprava,Boeder,Joystick,10,9,11,,,mateja,Lepo ohranjen. Na spodnji strani nalepka proizvajalca. Res lep primerek. S kablom.,,D3-6
,,vnosna naprava,S. T. C. Rotterdam,Joystick,14,9,14,,,mateja,Lepo ohranjen. Spredaj napis The Archade. ,,D3-6
,,vnosna naprava,SVI,Joystick Quickshot (model: QS-201),12,14,21,,,mateja,Lepo ohranjen. Tak profi. Spredaj napis Quickshot for professional players. ,,D3-6
,,vnosna naprava,SVI,Joystick Quickshot (model: QS-113),10,14,14,,,mateja,Lepo ohranjen. Svetlo-temno rjave barve.,,D3-6
,,vnosna naprava,Spectravideo,Joystick (model: SVI-101),11,9,16,,,mateja,Lepo ohranjen. Spredaj napis Spectravideo. ,,D3-6
,,vnosna naprava,Logitech,Joystick ,16,19,23,,LCA70911356,mateja,Lepo ohranjen. Zgoraj napis Wingman Extreme Digital Logitech. Na spodnji strani nalepka proizvajalca.,,D3-6
,,vnosna naprava,Sigma,Joystick ,22,15,12,,,mateja,"Lepo ohranjen. Generični. Zadaj ima ""legendo"" za tipke: A=Atari Commodore; B=MSX; C=Amstrad; D=Sega. Z dvema kabloma.",,D3-6
,,vnosna naprava,SVI,Joystick Quickjoy II Turbo,13,10,22,,,mateja,Lepo ohranjen. Podnožje rdeče barve. Nalepljenih par nalepk.  Zgoraj napis Quickjoy.,,D3-6
,,vnosna naprava,neznan,Joystick,9,7,10,,,mateja,Zelene barve. Spredaj napis Competition PRO.,,D3-6
,,kalkulator,Philips,Osebni kalkulator / organizator,17,10,1,1997,4000029118,mateja,"Lepo ohranjen. Na desnem tečaju srebrna nalepka. Zraven tudi konzola, s katero se je priključil na navaden računalnik. Pokrovček za DRAM se snema.",,D3-6
,,vnosna naprava,Logitech,Miška PS/2,6,17,2,,,mateja,"Miška, s pripadajočim vmesnikom za računalnik. ",,D3-6
,,vnosna naprava,Atari,Zunanja numerična tipkovnica,13,10,1,,,mateja,1x zunanja numerična tipkovnica. Vsaka s svojim kablom. ,,D3-6
,,vnosna naprava,Atari,Zunanja numerična tipkovnica,13,10,1,,,mateja,2x zunanja numerična tipkovnica. Vsaka s svojim kablom. ,,D3-6
,,vnosna naprava,Genius,Miška GM-6,6,10,3,,757087,mateja,S tremi tipkami. Na zadnji strani nalepka proizvajalca. ,,D3-6
,,vnosna naprava,QTronix,Miška  Lynx-30S,6,10,3,,M405006323,mateja,Lepo ohranjena. Zgoraj logo proizvajalca. Na zadnji strani nalepka proizvajalca.,,D3-6
,,vnosna naprava,Atari,Napajalnik,5,6,6,,,mateja,"Part number: C016353-101. Na kablu nalepka, na katerem piše Atari2600""mini"".",,D3-6
,,vnosna naprava,Atari,Napajalnik,5,6,6,,,mateja,"Part number: C010472. Na kablu nalepka, na kateri piše Atari2600-""switch"".",,D3-6
,,vnosna naprava,Atari,Napajalnik,5,6,6,,,mateja,"479. Na kablu nalepka, na kateri piše Atari2600""6swotch"".",,D3-6
,,vnosna naprava,Sharp,Napajalnik,6,11,6,,,mateja,Zgoraj nalepka z 140550A.,,D3-6
,,vnosna naprava,Behringer,Napajalnik (model MXEU6),5,8,5,,,mateja,Lepo ohranjen.,,D3-6
,,vnosna naprava,RCA,Napajalnik (model: 18V101),5,5,6,,,mateja,"Lepo ohranjen. Na kablu nalepka, na kateri piše HOME TV POGRAMER STUDIO.",,D3-6
,,vnosna naprava,Atari,Napajalnik,5,6,6,,,mateja,"Part number: C016353-101. Na kablu nalepka, na katerem piše Atari2600 ""mini"".",,D3-6
,,vnosna naprava,Keyspan,USB adapter ,5,8,2,,,mateja,USB adapter. Še v originalni škatli. ,,D3-6
