navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,polica,popisovalec,stanje,zgodovina
"ja, dejansko rabiš meter, da zmeriš velikost",,Nosilec podatkov,Tektronix,"Magnetni trak 5.25"" Tektornix",15,10,1,,,D4,,V plastični škatlici. Spodaj desno nalepka s številko 10. ,
,,Nosilec podatkov,Tektronix,"Magnetni trak 5.25"" Tektornix",15,10,1,,,D4,,V plastični škatlici. Spodaj desno nalepka s številko 6.,
"pod stanje vnesi vizualno prepoznavne znake - barve, oblike, nalepke, praske, poškodbe",,Nosilec podatkov,Tektronix,"Magnetni trak 5.25"" Tektornix",15,10,1,,,D4,,V plastični škatlici z ostanki nalepke in rahlo počena.,
,,Podatkovni pogon,"Pertec Computer Corporation, ZDA",8 palčni disketni pogon (model: FD514),22,36,10,,,D4,,Lepo ohranjen. Spredaj nalepka Monitorjevega muzeja 83. Na notranji desni strani nalepka proizvajalca.,
,,Vnosna naprava,"Atari Corporation, ZDA",Miška STMI,6,10,3,,P28956625,D4,,Lepo ohranjena. Z dvema tipkama.,
,,Vnosna naprava,"IBM, ZDA",Miška (model: 13K6690),6,11,3,,23-500755,D4,,Lepo ohranjena. Z dvema tipkama.,
,,Vnosna naprava,"Apple, ZDA",Miška (G5431),6,10,3,,LI111184WYC22,D4,,Apple Desktop Bus Mouse. Z eno tipko. Bolj kvadratnega designa.,
,,Vnosna naprava,"Apple, ZDA",Miška (M2706),7,11,3,,,D4,,Apple Desktop Bus Mouse. Z eno tipko. ,
,,Vnosna naprava,"Apple, ZDA",Miška (M2706),7,11,3,,MI451084T 18,D4,,Apple Desktop Bus Mouse. Z eno tipko. Manjka pokrovček in kuglica.,
,,Vnosna naprava,"NeXT Computer, Inc., ZDA",Miška ,6,10,3,,AAF 6140454,D4,,Lepo ohranjena. ,
vnos 17. 12.,,Vnosna naprava,Active Card,Čitalec kartic (model: ACTR-01),7,9,2,,989,D4,,Lepo ohranjen. Na zadnji strani nalepka proizvajalca.,
,,Vnosna naprava,,Čitalec DDS kaset,30,21,7,,,D4,,Lepo ohranjen. V njem še DDS kaseta. Zadaj SCSI vtičnica.,
,,Ostalo,,Elektronka,1,11,1,,,Predal 1,,"Steklena površina malce počena. Zadaj dolgo vezje. Notri  na ""ohišju"" napisana številka 11022.",
,,Ostalo,,Elektronka,2,7,2,,240550,Predal 1,,"Lepo ohranjena. Na njej napisi WF EABC 80 E7048, zadaj serijska in Gk 33. ",
,,Ostalo,"Siemens AG, Nemčija",Elektronka Röhre,3,9,3,,PCL 805,Predal 1,,"V original škatli, ki je malce poškodovana in pračna. Elektronka je najbrž pregorela - steklo je sajasto.",
,,Ostalo,"EI, Jugoslavija",Elektronka Noval,3,10,3,,PCF-802,Predal 1,,"V originalni škatlici, ki je poškodovana in elektronka gre kar težko ven - potrebno paziti, da se je ne strga. Na vrhu s kulijem napisano 48,49. Na elektronki napis Ei, Jugoslavija in serijska številka. Lepo ohranjena.",
,,Ostalo,"EI, Jugoslavija",Elektronka,3,10,3,,PCF-802,Predal 1,,"V originalni škatlici, ki je lepo ohranjena, malce prašna. Zgoraj na pokrovčku žig PCF-802. Ob inventariziranju elektronke nisem mogla spraviti iz škatlice. Porovčka se zelo težko odpirata in obstaja možnost uničenja/odtrganja.",
,,Ostalo,"Philips, Nizozemska",Elektronka,2,8,2,,PCL 82,Predal 1,,"V originalni škatlici, ne pokrovček poškodovan - manjka del, ki se zapira. Elektronka tudi lepa, na njen spodaj napis E9 6J.",
,,Ostalo,,Elektronka,4,12,4,,,Predal 1,,Brez škatle. Na njej napisano Valvo Pl 519. Steklo sajasto.,
