ŠIFRA,VRSTA,ČLANEK,VSEBINA,LINK
79/03,Seznam,"Delo (14.03.1979, letnik 21, številka 61)",>>Nov računski center VEKŠ z računalnikom Iskradata C-18,http://www.dlib.si/listalnik/URN_NBN_SI_doc-RZEI7UFO/64/index.html
79/06,Seznam,"Delo (30.06.1979, letnik 21, številka 151)",">>Sporazum o kupoprodaji opreme Cyber 170/720 med Iskro in Metalko
'Metalka bo najsodobnejši sistem nabavila postopoma, v prvi fazi računalnik Cyber 170/720 in en računalnik Iskradata C-18, v naslednjih fazah pa bodo širili terminalsko mrežo, saj načrtujejo gradnjo novih dislociranih skladišč'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-T2FSSUWW/2/index.html
79/10,Seznam,"V Agisu (1979, letnik 3, številka 10/11)",>>Naslednje leto Delta 340/80 v Agisu,https://www.dlib.si/stream/URN:NBN:SI:DOC-KOZS247K/7bed2cac-f1e4-4936-a663-ac9b23a4758d/PDF
79/11,Seznam,"Viharnik (1979, letnik 12, številka 11)",">>V Lesna Slovenj Gradec izbrali Delta 478
'Na svetovnem tržišču manj kot 2 leti in se imenuje DEC WAX11.. Izbrali sistem z možnostjo priključitve 5 terminalov in 2MB pomnilnika''Na našem tržišču od Oktobra'",https://www.dlib.si/stream/URN:NBN:SI:DOC-5SF5N9F3/0d9ae69d-eafa-49a4-8bbe-95d990a5dab6/PDF
79/15,Seznam,"Delo (04.05.1979, letnik 21, številka 102)",">>V Tekstil, Ljubljana pred kratkim namestili računalnik Delta 700",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-BZXUGFDT/14/index.html
79/19,Seznam,"Delo (25.07.1979, letnik 21, številka 171)",">>Septembra vse poslovalnice Ljubljanske banke nove terminale
'Vrst pred okenci, ki so začele že 1975, bo konec''Stari računalnik, ki ga sestavljata dve enoti, še zmeraj deluje s polno zmogljivostjo in opravi le polovico vsega, kar bi moral.. postopno uvajajo nov računalnik in prenašajo programe.. ta bo v celoti prevzel delo starih dveh''Tudi centrala Ljubljanske banke na Trgu revolucije in Mestna hranilnica ljubljanksa bosta dobila svoja računalnika, poslovalnice pa nove terminale''Uvedli bodo tudi plačevanje prek trajnika'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-KQ4PCH9P/4/index.html
79/22,Seznam,"Delo (06.10.1979, letnik 21, številka 234)",">>Računalniški center za dve občini
'12 organizacij iz kočevske in ribniške občine so podpisali sporazum o ustanovitvi medobčinskega računalniškega centra'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-X90X1JRX/2/index.html
80/03,Seznam,"Delo (05.07.1980, letnik 22, številka 156)",">>Iskradata 1680-20 in 1680-21 v TOZD Tima
'Prvi tak sistem v mariborskem območju'",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-DZSI0H33/2/index.html
80/04,Seznam,"Delo (02.10.1980, letnik 22, številka 231)",">>Pomembna pridobitev za VTŠ
'Lani namestili Iskradata C-18-20, nato opremo večkrat dopolnili. Zdaj imajo tudi 5 terminalsih povezav z delovnimi organizacijami v gospodarstvu'",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-4LUVZSOI/26/index.html
80/06,Seznam,"V Agisu (1980, letnik 4, številka 8/9",">>Obdelava podatkov v Agis s sistemom Delta 340/80
'V Ptuju sta do sedaj v pogonu dva računalnika iste firme, v pripravi pa je nakup še treh računalnikov, kar je bil eden od pogojev za odločitev pri izbiri nakupa računalnika'
'KOPA 1500 je terminal z lastnim spominom, lahko dela samostojno brez priključitve na računalnik.. KOPA 1000 pa je terminal brez spomina in se uporablja lahko kot vhodno izhodno mesto ob priključitvi na KOPA 1500 ali računalnik'",https://www.dlib.si/stream/URN:NBN:SI:DOC-SOFNGMZE/4a1d42ca-a80e-4e03-ac29-3aff0ebb18fe/PDF
80/07,Seznam,"Ptujski perutninar (1980, letnik 4, številka 10)",>>Računalnik DELTA 4780 ob dobavnem roku še nismo dobili,https://www.dlib.si/stream/URN:NBN:SI:DOC-B60DDVCW/f4f2cd77-65f1-4452-8474-7921c1399648/PDF
80/08,Seznam,"Vezilo (10.10.1980, letnik 16, številka 8/9/10",">> Računalnik, ki ga kupujemo, se imenuje DELTA 644/80, isti kot v Novoteksu",https://www.dlib.si/stream/URN:NBN:SI:DOC-RH0CDJHM/151e5cb2-fc6d-4c51-a250-08e8abbc16ab/PDF
80/12,Seznam,"Delo (21.01.1980, letnik 22, številka 16)
Delo (24.01.1980, letnik 22, številka 19)",>>Na Lisici bodo prvič letos dobivali tekoče rezlutate z računalnika Delta 340/40,"http://www.dlib.si/listalnik/URN_NBN_SI_DOC-3LZRHVD8/10/index.html 
http://www.dlib.si/listalnik/URN_NBN_SI_doc-HW8EFR3Q/24/index.html "
80/15,Seznam,"Delo (15.02.1980, letnik 22, številka 38)",">>Sodoben informacijski sistem v PTT
'V vseh večjih poštah naj bi bil terminal povezan z računalniškim centrom v Lj.. Če bodo dobili dovoljenje za uvoz, v naslednjem letu.'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-HK6C93OT/2/index.html
80/19,Seznam,"Delo (14.03.1980, letnik 22, številka 62)",">>Nezadostne računalniške zmogljivosti v bankah
>>Celjski razvojni center vložil v razvoj.. tudi nov računalnik grafično tehniko",http://www.dlib.si/listalnik/URN_NBN_SI_doc-9XXVVNQ3/2/index.html
80/23,Seznam,"Delo (03.06.1980, letnik 22, številka 129)",>>Nova tovarna v Brestu že sedaj v celoti vodena preko računalnika,http://www.dlib.si/listalnik/URN_NBN_SI_doc-M4DPT6UY/24/index.html
80/27,Seznam,"Delo (02.07.1980, letnik 22, številka 154)",">>Litostroj tovarna viličarjev in drugih transportnih sredstev
'Opremljena z najsodobnejšimi računalniško krmiljenimi stroji. Pri gradnji so kot sovlagatelji sodelovali Metalka, TAM in Slovenija Ceste.'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-SVYXSEPJ/2/index.html
80/28,Seznam,"Delo (15.07.1980, letnik 22, številka 164)",">>Novi računalnik v dispečerskem centru Elektro Ljubljana
'Z letom 1981 bodo uvedli računalniško daljinsko upravljanje in nador električne mreže, pa letni obračun porabljene energije'
>>Nov računalnik v podjetju TIMA.. Nameščen 50-i Iskradata C 18-20",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-1LU9CHH8/10/index.html
80/31,Seznam,"Delo (27.08.1980, letnik 22, številka 200)",">>Slovenska živinorjska skupnost dala pobudo za gradnjo računalniškega centra v Domžalah
'Ogreli so se za sistem Delta z dodatki, ki bi omogočili priključitev na univerzitetni računalnik'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-JQWWALTM/2/index.html
80/43,Seznam,"Delo (29.12.1980, letnik 22, številka 303)",">>Nov računski center v Železarni Jesenice
'V prostorih nove stavbe je začel delati računalnik IBM 3031. Razvejana terminalska mreža po tozdih in službah bo omogočala zajemanje podatkov pri izvoru in možnost takojšnjih povratnih informacij. Razvoj obdelave bo usmerjen predvsem v planiranju, spremljanje in kontroli proizvodnje. Z računalnikom bodo povezane tudi nekatere druge Slovenske železarne, Skupščina občine Jesenice in Iskra Telekomunikacije Kranj'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-6UN78RVS/2/index.html
80/46,Seznam,"Delo (30.12.1980, letnik 22, številka 304)",">>Računalniška mreža in RRC
'10 let odkar so v RRC pritegnili tudi zunanje partnerje in je bila vzpostavljena formalna osnova za združevanje večjega števila uporabnikov. RRC je do 1979 deloval kot posebna enota IJS, letos pa je postal samostojna delovna organizacija v kateri združuje 28 gospodarskih in družbeno-političnih organizacij.'
'Leta 1972 se je z nabavo Cyber 72 začelo povsem novo obdobje računalništva pri nas. Nakup se je izkazal kot racionalen in upravičen. Tudi za študente matematičnih in tehničnih smeri je postal nepogrešljiv pripomoček, z njim so povezani številni raziskovalci in organizacije. Nekateri imajo nanj priključene kar svoje mikro računalnike. Veliki osrednji računalniki imajo ravno tako svoje mesto med drugimi kapacitetami in jih je potrebno ustrezno uporabiti.'
'V RRC imajo Cyber 72 in Cyber 172, ki je še 30 odstotkov hitrejši od starejšega brata in njegova centralna enota zaseda kar dve tretjini manj prostora. Oba računalnika sta polno zaposlena, nastajajo pa težave pri nabavi rezervnih delov, posebej manjših. Desan Justin že leta vodi center, kolektiv pa zaposluje 70 delavcev, med njimi 20 visoko usposobljenih kadrov. V center se nenehno vključuje okrog 300 strokovnjakov iz vrst uporabnikov. Vsako leto organizirajo tečaje programiranja in druge oblike strokovnega usposabljanja.'",https://www.dlib.si/listalnik/URN_NBN_SI_doc-QDU6XP65/8/index.html
81/01,Seznam,"Hmeljar (oktober 1981, letnik 35, številka 10)",">> Zgodovina obdelave podatkov KK Žalec, kasneje Hmezad.
'1966 je KK Žalec ustanovil mehanografski center. Podatke so obdelovali v tujih mehanografskih centrih (EMO Celje, SATURNUS Ljubljana!! Lasten IBM360/20 uvedli pred 10 leti Maja 1971. 1976 odkupili še en IBM 360/20 rabljen od Mure'
'1979 dve možnosti: združitev z računalniškim centrom Dobrina kjer so imeli IBM 370/115 ali nabava lastnega novega. Odločili so se za nakup ISKRADATA C 18-20-inštaliran aprila 1979.'",http://www.dlib.si/stream/URN:NBN:SI:DOC-2IJIM14P/5edddb07-ba53-49bd-a8a6-3c7c2772aa39/PDF
81/10,Seznam,"Novoteks (1981, letnik 9, številka 6)",>>Za instalacijo računalnika DELTA 644/80 je potrebno pripraviti prostor,https://www.dlib.si/stream/URN:NBN:SI:DOC-TKEWFC7B/f00c5561-a266-4c59-b81f-4a87e555c354/PDF
81/29,Seznam,"Delo (17.06.1981, letnik 23, številka 138)",>>Sporazum Metalke in slovenske strojegrandje o sodelovanju na področju tržnih dejavnosti in uporabi računalniških kapacitet,http://www.dlib.si/listalnik/URN_NBN_SI_doc-JAUWVY7F/2/index.html
81/36,Seznam,"Štorski železar (september 1981, letnik 21, številka 17-18)",>>Uresničevanje programa računalništva v Železarni Štore,https://www.dlib.si/stream/URN:NBN:SI:DOC-VQIW5MMA/57c86a73-b048-441f-b798-c41517a10170/PDF
81/37,Seznam,"Veriga (1981, letnik 23, številka 1)",">>Otvoritev novega računskega centra v Železarni Jesenice
'V zadnjih dneh prejšnjega leta otvorili nov center v sodobni zgradbi, kjer so namestili nov računalnik IBM 3031. Z obdelavo začeli 1957 za klasičnih IBM strojih, nadgradili leta 1969 na IBM 360/30, ki je obratoval kar 11 let. 1977 so zaradi novih obdelav razširili spomin računalnika, vendar je bil ta preveč obremenjen.. 600 ur mesečno, zato so se odločili za nakup novega s 5MB spomina.'
'Zdaj bo možna razširitev obdelave. Pripravljajo uvedbo računalnika v procesno vodenje proizvodnje. Razvili so obsežen informacijski sistem, zadovoljiti pa poskušajo tudi potrebe zunanjih naročnikov Občina Jesenice, Grasdbinec Kranj in Veriga Lesce. Ko bo oprema nameščena bomo prešli na interaktivno delo prek terminalov, ki bo zamenjala luknjanje kartic.'",https://www.dlib.si/stream/URN:NBN:SI:DOC-07YCKC2Z/27ed0814-59ed-4cf4-a351-b63ec6e100aa/PDF
82/03,Seznam,"LIP Bled (12.02.1982, letnik 12, številka 2)",">>Osem let računalništva v LIP Bled
'Prva oprema paketni terminal za povezovanje z računalnikom v RRC, ki smo ga kupili skupaj z Vezenina Bled in GG Bled.. nameščen 1975''1979 kupili svoj lastni računalnik Iskradata C18-20.. pokrivamo vsa področja poslovanja, nekatere v celoti, nekatere delno.. vhodne podatke zajemamo prek video terminala, sami izdelali programe'",http://www.dlib.si/stream/URN:NBN:SI:DOC-9S0AA7MN/93c0d743-260c-48a9-9970-51deb6a32f34/PDF
82/04,Seznam,"Krajan(1982, letnik 3, številka 8)",">>Lesonit Ilirska Bistrica 1980 nabavil Delta 700/80
Naša občina je bila edina v tej regiji in ena izmed zelo redkih v Sloveniji, kjer nobena delovna organizacija ni imela niti lastnega računalnika niti ni  bdelovala kakršnihkoli podatkov na kakšnem drugem računaliku. Po tehtanju vseh možnosti in pogojev, ki jih je trg nudil, smo se v Lesonitu odločili za domači računalnik DELTA 700/80.'",https://www.dlib.si/stream/URN:NBN:SI:DOC-UD1UNYFQ/8781126e-f07b-414c-bf79-261f7cb056bc/PDF
82/08,Seznam,"Novoteks (1982, letnik 10, številka 7) 
in Dolenjski list (16.09.1982, letnik 33, številka 37)",">>V kratkem bo prispel računalnik DELTA 644/160
'Nekaj o strojni opremi na splošno, o računalniku 644/160 in različnih operacijskih sistemih'",https://www.dlib.si/stream/URN:NBN:SI:DOC-6X2CU4DI/3dac37c2-012c-4cb2-bf32-b2ae92589d48/PDF    https://www.dlib.si/stream/URN:NBN:SI:DOC-PLLX013F/659d7fcf-4594-4a53-8a33-44407de18636/PDF 
82/10,Seznam,"Viharnik (1982, letnik 15, številka 11/12)",>>Namestitev računalnika na Lesni,https://www.dlib.si/stream/URN:NBN:SI:DOC-X4V6VQRP/b71b17ef-a51c-4108-b68b-a2d80a827eeb/PDF
82/11,Seznam,"Vezilo (24.12.1982, letnik 18, številka 9/10)",>>Prve dni 1982 smo dočakali prihod DELTA 644/160 v Beti,https://www.dlib.si/stream/URN:NBN:SI:DOC-HEUQ27M0/e1a49b63-8ae3-4b0e-8e77-d6bcc5696986/PDF
82/16,Seznam,"Delo (21.01.1982, letnik 24, številka 16)
in Delo (04.08.1982, letnik 24, številka 179)",">>Računalnik za obrambo pred točo v SV Sloveniji
>>Skupni računalniški center Maribor
'Tovarna vozil in toplotne tehnike Boris Kidrič Maribor bo kupila računalniško opremo IBM 4341 za svoje potrebe in potrebe Hidromontaže, ECM, Mariborske livarne, Metalne in Surovine Maribor. Sistem bo nameščen v ECM in bo namenjen racionalizaciji in krmiljenju proizvodnega procesa.'
>>Nov računalnik IBM 4341 v ECM
'Kupili z zdrzuževanjem deviz TVT Boris Kidrič, Mariborska livarna, Surovina, Hidromontaža, Metalna in ECM. Doslej so imeli najeti IBM 370/135, ki ga bodo vrnili.'","http://www.dlib.si/listalnik/URN_NBN_SI_doc-VAYXVFRV/20/index.html
https://www.dlib.si/listalnik/URN_NBN_SI_DOC-4U7RPYFN/5/index.html "
82/19,Seznam,"Delo (18.02.1982, letnik 24, številka 40)",>>Zadnje leto tudi SDK Krško uporablja računalnik Burroughs,http://www.dlib.si/listalnik/URN_NBN_SI_doc-R4KVYOQU/16/index.html
82/22,Seznam,"Delo (16.03.1982, letnik 24, številka 62)",">>Računalniški center v Sežani
'TIMAV in SGP Kraški zidar sta ob podpori občinske skupščine, medobčinske gospodarske zbornice in drugih ustanovili manjši računski center. Najeli so IBM 4331, v kratkem pa se bodo odločili o nakupu, kljub temu, da kapacitete računalnika niso izkoriščene. V Pletenini so se odločili da bodo kupili svoj računalnik Robotron 1840, ker je to cenejša in boljša možnost zanje.'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-OYMLBCVP/20/index.html
82/24,Seznam,"Delo (23.03.1982, letnik 24, številka 68)",">>IMP kupuje računalnik Delta, predvidoma dobavlja Oktobra",http://www.dlib.si/listalnik/URN_NBN_SI_doc-FJLVVW82/6/index.html
82/34,Seznam,"Delo (20.05.1982, letnik 24, številka 115)",>>Nov računalnik v Slovin Ljubljana,http://www.dlib.si/listalnik/URN_NBN_SI_doc-GILSP1LS/6/index.html
82/35,Seznam,"Delo (28.05.1982, letnik 24, številka 122)",">>Srečanje uporabnikov(29 podjetij) Iskradata C18
'Zbrani so menili, da jih po združitvi novo podjetje pušča vnemar in so se v prvi vrsti zavzeli da morajo kupcem zagotoviti že naročeno računalniško opremo na katero nekateri čakajo že dve leti, pa tudi da Iskra Delta zagotovi kompatibilnost sistemov Iskradata in Delta in jih vključi v oblikovanje šolanja'
>>V Gorenjski banki naj bi kupili nov računalnik",http://www.dlib.si/listalnik/URN_NBN_SI_doc-XVKUT1YR/2/index.html
82/45,Seznam,"Delo (23.11.1982, letnik 24, številka 273)",">>ECM računalniški center
'Sodeujejo pri nabavi opreme in razvoju aplikativne in sistemske programske opreme'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-OMCXJ2RS/2/index.html
82/47,Seznam,"Delo (23.11.1982, letnik 24, številka 273)",">>ECM računalniški center
'Sodeujejo pri nabavi opreme in razvoju aplikativne in sistemske programske opreme'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-OMCXJ2RS/2/index.html
82/48a,Seznam,"Delo (20.12.1982, letnik 24, številka 294)",">>V Tekol namestili računalnik Delta 341/10, predvsem za krmiljenje proizvodnje, pri načrtovanju in obračunavanju
>>Računalniki v športu",http://www.dlib.si/listalnik/URN_NBN_SI_doc-H4YX95K8/2/index.html
82/50,Seznam,"Delo (22.12.1982, letnik 24, številka 296)",>>Splošna plovba načrtuje menjavo računalnika,http://www.dlib.si/listalnik/URN_NBN_SI_DOC-5624A4W5/20/index.html
82/51,Seznam,"Delo (25.12.1982, letnik 24, številka 299)",">>Tovarna stikal in Strojna Maribor kupujeta Delta 644/160
'Do sedaj uporabljali računalnik na VTŠ, nov računalniški center bo organiziran v Tovarni stikal' ",http://www.dlib.si/listalnik/URN_NBN_SI_doc-LILCP3JN/2/index.html
82/53,Seznam,"Delo (30.12.1982, letnik 24, številka 303)",>>V IMP želijo vgradit računalniško opremo za vodenje proizvodnih procesov,http://www.dlib.si/listalnik/URN_NBN_SI_doc-LUJRJKFK/2/index.html
82/55,Seznam,"Dolenjski list (30.09.1982, letnik 33, številka 39)",>>Delta 640/160 v Novoteksu,https://www.dlib.si/stream/URN:NBN:SI:DOC-SZCHYQCK/8dbcf916-bd23-44d1-8475-c16807dac88d/PDF
83/56,Seznam,"Delo (26.07.1982, letnik 24, številka 171)",>>MTT proda 2 mini računalnika NCR 399,https://www.dlib.si/listalnik/URN_NBN_SI_doc-68KUKVGN/2/index.html
83/02,Seznam,"Hmeljar (oktober 1983, letnik 37, številka 4)",">>Iskradelta 1680 v Hmezad
'Iskra je po združitvi z organizacijo Delta leta 1981 prenehala z izdelovanjem računalnikov Iskradata in nam zagotovila vzdrževanje za naš računalnik le še za 4 do 5 let.'",http://www.dlib.si/stream/URN:NBN:SI:DOC-3W3EJ1X3/fa433cf1-89ee-4970-b5af-33169a45cfde/PDF
83/05,Seznam,"V Agisu (1983, letnik 7, številka 7/8)",>>Problematika AOP v Agisu,https://www.dlib.si/stream/URN:NBN:SI:DOC-LHPRMSQ1/3ba93bc0-3329-4009-9fae-961588baf82b/PDF
83/06,Seznam,"Logaške novice (1983, letnik 9, številka 9)",>>1981 nameščen Delta 800/80 v KLI Logatec,https://www.dlib.si/stream/URN:NBN:SI:DOC-GWRZQ1OP/7ab2e796-bb1e-4e02-995b-33384017f92b/PDF
83/10,Seznam,"Viharnik (1983, letnik 16, številka 4)
in Preseki (1983, letnik 14, številka 2)",">>Novembra 1982 končno nameščen Delta 4850 v Lesna Slovenj Gradec
>>Uporaba računalnika Delta pri krojenju oblovine iglavcev","https://www.dlib.si/stream/URN:NBN:SI:DOC-W6UKLW3W/f7165e89-7e0c-49aa-b630-1278addb7007/PDF 
https://www.dlib.si/stream/URN:NBN:SI:DOC-G7G6X2O5/1c276bdf-95e0-4938-ac58-477ed0d443cb/PDF 
"
83/11,Seznam,"Viharnik (1983, letnik 16, številka 12)",>>Razvoj obdelave podatkov v Lesni Slovenj Gradec,https://www.dlib.si/stream/URN:NBN:SI:DOC-OD37MV6S/d43e597f-825d-4113-abfb-83716956e0bf/PDF 
83/12,Seznam,"Naša komuna - delegatska priloga (1983, letnik 19, številka 9)",">>Tiskarna Ljubljana
'Leta 1980 smo bili po količini natisnjenega materiala na delavca prvi v Sloveniji. Pred dnevi smo se v Iskra Delti pogovarjali o uvedbi mikroračunalnika Parnter v proizvodnjo.'",https://www.dlib.si/stream/URN:NBN:SI:DOC-Q4NMSMT0/890d95a8-7313-4633-b546-857577c4ada4/PDF
83/14,Seznam,"Delo (07.01.1983, letnik 25, številka 4)",">>Računalniki na obali
'Oprema preveč zastarela in ne ustreza potrebam, zlasti v gospodarstvu. V letih 1978-1981 očiten zastoj zaradi omejitev uvoza, v zadnjih dveh letih nove investicije. Lastno raunalniško opremo imajo THP Portorož, Interevropa Koper, Luka Koper, Spošna plovba Piran, Stavbenik Koper, Droga Portorož, Tomos Koper, SDK Koper, Splošna banka Koper in Skupšina občine Koper. V uporabi tudi 40 terminalov, od tega 20 v gospodarstvu. Povprečna starost opreme je 5 let, najstarejši 11 let, oprema 7 različnih proizvajalcev in neizkoriščena. Ozaveščenost in izobraženost med delavci premajhna.'
>>Družbeni računalniški center Celje
'Na novi računalnik priključili 43 terminalov devetih članic in 9 manjših tiskalnikov.'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-PPX9QIAC/18/index.html
83/15,Seznam,"Delo (20.01.1983, letnik 25, številka 15)",">>V Družbeni računalniški center Celje povezani Aero, Konus Slovenske Konjice, Etol, Zdravstveni center, občinska skupščina, Razvojni center Celje in drugi.",http://www.dlib.si/listalnik/URN_NBN_SI_doc-UK3FQUP3/index.html
83/18,Seznam,"Delo (16.03.1983, letnik 25, številka 62)",>>V Železarni Ravne bodo do konca 1985 uvedli procesne računalnike v celotno proizvodnjo,http://www.dlib.si/listalnik/URN_NBN_SI_DOC-43ZB41NG/index.html
83/23,Seznam,"Delo (06.04.1983, letnik 25, številka 80)",">>Eta bo kupila svoj lasten računalnik Delta Wax??? in najprej 15, potem 30 terminalov",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-3Y3OSGQ2/16/index.html
83/27,Seznam,"Delo (06.05.1983, letnik 25, številka 103)",>>V novem skladišču Elektrotehne bodo vodili zaloge s pomočjo računalnika Delta,http://www.dlib.si/listalnik/URN_NBN_SI_doc-J5EBIOGJ/6/index.html
83/30,Seznam,"Delo (31.05.1983, letnik 25, številka 124)",">>Novi prostori za Idrijski Razvojno-projektivni center
'Pred dvema letoma 15 idrijskih organizacij podpiaslo sporazum o skupnem razvoju računalništva v občini. Odločili smo se za nakup EI Niškega Honeywell-a, ki bo imel 2 centralna procesorja in 43 terminalov, večina pasivnih, v ETI pa bodo kupili Delto. Računalnik v centru bo povezan z novim računalnikom, ki bo postavljen v prizidku Kolektorja.'",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-4RMXOQKC/18/index.html
83/42,Seznam,"Delo (13.10.1983, letnik 25, številka 238)",">>Računalniško vodeni distribucijski sistem v TAMu do leta 85
'V novem centru bodo uvedli sistem Delta, ki bo povezan s centralnim računalnikom Delta v TAMu.'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-NGHSWK2R/22/index.html
