ŠIFRA,VRSTA,ČLANEK,VSEBINA,LINK
SRS/05,Seznam,zapisek seje Skupščine RS od 1.6. do 30.6. 1970>>,"Po nekaterih podatkih je v Jugoslaviji 240 elektronskih računalnikov različnih sistemov, izdelanih v 11 tujih firmah. Po podatkih, ki jih navaja inšititut »Jožef Štefan«, imamo v Sloveniji vsaj 40 računalnikov, ki so vsi razen enega (CDC 3300) manjših centralnih (spominskih kapacitet in nezmožnih izvrševanja obsežnejših raziskovalnih oziroma ekonomskih analiz.'",https://www.sistory.si/cdn/publikacije/28001-29000/28057/Sejni_zapiski_1.6.-30.6.1970.pdf
SRS/04,Splošno,zapisek seje Skupščine RS 1965>>,"V zvezi s tem dajemo v poročilu tudi ustrezen predlog, po katerem naj bi se večina mehanografskib sredstev združila v mehanografskem centru, nekaj pa bi jih vendarle ostalo tudi drugod. Pri obdelavi podatkov v mehanografskem centru pa bo treba dati prednost statistiki, da lahko pravočasno nudi potrebne podatke tistim, ki vodijo določeno gospodarsko ali drugačno politiko.'",
SRS/03,Splošno,zapisek seje Skupščine RS 1964>> ," 'Z uvozom mehanografskih sredstev se že ukvarjajo nekatere gospodarske organizacije, ki posredujejo koristnikom teh sredstev različne vrste in sisteme visoko ter srednje razvite mehanizacije. Ob neorganiziranem in nesmotrnem uvozu pa se zanemarja skrb za enotni sistem mehanografskih sredstev, katerega bi bilo treba razvijati glede na potrebe in razmere v delovnih organizacijah.'",
SRS/02,Javna uprava,,"V iskanju rešitev glede financiranja in same organizacije centra se je zavod SRS za statistiko povezal z združenim podjetjem Iskra, da bi našli rešitev ki bi zadovoljila republiški zavod za socialno zavarovanje, Iskro in pa zavod SRS za statistiko. V letu 1966 se rešitev, ki bi zadovoljila potencialne uporabnike, ni mogla najti.'
'Združeno podjetje Iskra je v 1967 sklenilo kooperacijsko pogodbo z ameriškim CDC za izdelavo posameznih delov za elektronske računske stroje. Istočasno je prišlo do sporazuma o zastopstvu in prodaji električnih računskih strojev za Jugoslavijo, ki jih CDC proizvaja. Zaradi kooperativnih odnosov lahko dobi Iskra stroje CDC pod ugodnejšimi pogoji. Tako se je pokazala možnost, da tudi republiška uprava oziroma tudi drugi uporabniki pridejo do modernejše tehnike. Ker je Iskra imela takšno možnost, se je obrnila na izvršni svet s predlogom za poslovno sodelovanje in sofinanciranje, pri čemer naj bi javna uprava bila tudi uporabnik stroja, ki ga bo »Iskra« nabavila.
'Izvršni svet je želel ugotoviti stanje na tem področju in je organiziral konec avgusta 1967 posvet s potencialnimi uporabniki elektronskih strojev. Treba je bilo ugotoviti, ali se z večjim strojem zadovolji večji krog uporabnikov ali pa je bolje, če ima vsak svojega. Na posvetu je bilo ugotovljeno, da večji stroj lahko boljše zadovolji uporabnika kot pa manjši, predvsem zaradi znatno večjih zmogljivosti pomnilnikov in pa tudi hitrosti. Ker je Iskra nameravala nabaviti za sebe stroj CDC 3100, Univerza pa kot zelo močan uporabnik IMB 360/44, je bilo ugotovljeno, da bi stroj CDC 3300 lahko pokril potrebe vseh uporabnikov. Javna uprava bi tudi v varianti CDC 3100 lahko našla svoje mesto v kapacitetah stroja, vendar v omejenem okviru. S strojem CDC 3300 je rešitev boljša.. s potrebnimi priključnimi napravami. Stroj lahko krije potrebe javne uprave, znanstveno-raziskovalnega dela in nekaterih gospodarskih organizacij vrsto let.'",https://www.sistory.si/cdn/publikacije/28001-29000/28248/Sejni_zapiski_1.7.-31.8.1968.pdf
SRS/01,Javna uprava,"Sejni zapiski Skupščine Socialistične republike Slovenije
Seje od 1. VII. 1968 do 31. VIII. 1968","Garnitur elektronskih računalnikov manjših kapacitete je že okrog 18.'
'Pri komisiji za zgraditev poslopja republiškega predstavništva in uprave je bil že leta 1961 izdelan investicijski elaborat, ki je predvideval garnituro elektronskih strojev večje kapacitete, ki bi ustrezala potrebam statistike, zemljiškega katastra, inštitutov, republiških upravnih organov in deloma tudi potrebam gospodarskih organizacij. Za nosilca realizacije je bil takrat določen zavod SRS za statistiko. Za realizacijo tega investicijskega programa so bila odobrena finančna sredstva, vendar so bila porabljena le deloma; kupljeni so bili mehanografski stroji za najnujnejše potrebe zavoda SRS za statistiko in za obdelavo zemljiškega katastra. Druga faza nabave se ni realizirala in tako ni bil dobavljen najpomembnejši element v celotnem projektu, elektronski sistem večjih kapacitet za obdelavo podatkov. Vprašanje elektronskega centra je bilo ponovno načeto leta 1964'",https://www.sistory.si/cdn/publikacije/28001-29000/28248/Sejni_zapiski_1.7.-31.8.1968.pdf
SIND,Splošno,Slovenska industrija od nastanka do danes>>,,https://www.sistory.si/cdn/publikacije/43001-44000/43082/38_razpoznavanja_splet.pdf
SDMI/03,Zdravstvo,,">> Obdelava podatkov na Komunalnem zavodu za socialno zavarovanje Ljubljana(KZSZ)
'Na računalniku IBM 360/20 v lasti Železniškega transportnega podjetja Ljubljana smo že v začetku jeseni 1970 začeli s testiranjem aplikativnih programov in formiranjem podatkovnih datotek. Računalnik je bil na voljo le po 18 uri, saj so na njem delali tudi sodelavci iz invalidskega in pokojninskega zavarovanja in železničarski programerji'V letu 1973 so prenesli vse aplikativne obdelave na nov računalnik IBM 360/40?''Leta 1974 se je invalidsko in pokojninsko zavarovanje v skladu z zakonom ločilo od zdravstvenega zavarovanja. Gradnja nove poslovne stavbe SPIZ pa se je zavlekla, zato so njihov nov računalnik IBM 370/138 instalirali v prostorih KZSZ, oziroma takrat že RZS'
'Junija 1980 so Regionalni zdravstveni skupnosti Ljubljana dobavili računalnik IBM 3031 in več kot 100 terminalov za delo programerjev ter delovne postaje v finančnem sektorju, prijavni službi in službah 13 občinskih zdravstvenih skupnosti.'",
SDMI/02,Zdravstvo,Slovensko društvo za medicinsko informatiko 2.del,">>Komisija za Zdravstveno informacijski sistem
'Ugotovili smo, da 1974 le nekaj zdravstvenih institucij na pisarniških računalnikih obdeluje podatke in da imajo v tej fazi uvajanja le periferno opremo, medtem ko so se večje obdelave izvajale v večjih računalniških centrih izven zdravstva
>>V 70 letih prejšnjega stoletja so se v posameznih organizacijah uvajali prvi računalniki, oziroma prve računalniške obdelave
'Obvladovanje financ je bilo izmed prvih področij, kjer so se začeli uveljavljati, drugo veliko področje pa je bilo izdaja receptov in obračunavanje stroškov za zdravila'
'Najprej avtomatska obdelava podatkov v Zdravstvenem domu Celje 1971 na velikem računalniku IBM 370/135, nato projekt avtomatska obdelava receptov v letu 1973, ki ga je izvajala medobčinska Zdravstvena skupnost Ljubljana.. Računalniški tehnologiji je bila takrat naklonjena zdravstvena politika in je narekovala potrebo po pripravi zasnove računalniško
podprtega zdravstvenega informacijskega sistema(ZIS) v Sloveniji. Zasnova ZIS naj bi bila neke vrste kažipot nadaljnjega sistematičnega in usklajenega razvoja uvajanja računalniške tehnologije na večplastnem in razvejenem področju celotnega sistema zdravstvenega varstva v Sloveniji'
'RgZD Celje leta 1971 začel z oblikovanjem enotnega evidenčnega lista ter še nekaj drugih obrazcev za vnašanje podatkov, na katerih so bile vse potrebne informacije, pomembne za fakturiranje ter finančno in zdravstveno statistiko'",https://sdmi.si/files/strokovna_srecanja/30%20let%20kongres/MONOGRAFIJA%202del.pdf
SDMI/01,Zdravstvo,Slovensko društvo za medicinsko informatiko 1.del,,https://sdmi.si/files/strokovna_srecanja/monografije/MONOGRAFIJA%20SDMI%20m.pdf
SDK/01,Javna uprava,Služba Družbenega Knjigovodstva SDK Zgodovina >>,,https://sdk-tezaurus.blogspot.com/
RRC/01,Šolstvo/Znanost,Izpis iz zgodovine Republiškega Računskega Centra,"Zgodovina RRC-ja sega v leto 1968, ko je RRC začel delovati znotraj Instituta »Jožef Stefan«. RRC se je osnoval v okviru instituta kot Republiški računski center. V letu 1968 je bil kupljen prvi srednje velik računalnik CDC 3300 za tri ustanovitelje, pozneje pa se je z instalacijo zmogljivega računalniškega sistema CYBER 70 v letu 1972 sistem razširil in omogočal računalniške zmogljivosti za devet ustanoviteljev. V letu 1977 je bila kupljena nova naprava CYBER 172. Oba sistema sta zagotavljala skupne računalniške zmogljivosti za več kot 20 ustanoviteljev, z 32 daljinskimi priključki, kar je bilo v tistem času izjemen organizacijski in tehnološki uspeh. Sistem je veljal za enega večjih v Evropi in največjega na Balkanu.'",https://www.rrc.si/podjetje/
RII/01,Seznam,Razvoj informacijske infrastrukture v letih 1960-1991 z primeri iz slovenske tekstilne industrije>>,,https://www.dlib.si/stream/URN:NBN:SI:DOC-OX4AMHXS/e6ce73ef-1f56-44a9-aeae-1d5f4a55d642/PDF
PSR/01,Šolstvo/Znanost,PZE za Pedagogiko,">>Pouk s pomočjo računalnika
'Pedagoško psihološka analiza učinkovitosti in uporabnosti posameznih strategij pouka s pomočjo računalnika'",https://www.dlib.si/stream/URN:NBN:SI:DOC-B1VX13PG/a2a1cdee-4ef7-4ab1-bf44-e78fdc8673c2/PDF
PMR/01,Seznam,Pionirski čas mariborskega računalništva>>,>>IBM 1130 nameščen na FNT leta 1967 .. ZELO VERJETNO NAPAČNA INFORMACIJA.. NIKJER POTRDITVE.. PREVERI!,https://blog.cobiss.si/2021/05/12/pionirski-cas-mariborskega-racunalnistva-do-ustanovitve-univerze-leta-1975/
PKZ/03,Seznam,,"V Pomurju so konec leta 1969 instalirali prvi računalnik v tovarni oblačil Mura v Murski Soboti. To je bil IBM računalnik 360 model 20.'
'Leta 1965 je v okviru zavoda Ekonomski center Maribor začel poslovati Mchanografski center..  organizacije so združile sredstva ter nabavile dve garnituri sistema Gamma 10 firme Bull'...
        'V tem kontekstu paje potrebno izpostaviti še podjetje Birostroj iz Maribora, kije sredi petdesetih let začel prodajati ""knjigovodske avtomate Ascota"".'",https://www.sistory.si/cdn/publikacije/8001-9000/8017/2003_1-2_Casopis_za_zgodovino_in_narodopisje.pdf#page=131
PKZ/02,Seznam,,"V TAM-u so že sredi petdesetih let obdelovali podatke na klasičnih mehanografskih strojih.'
'Leta 1962 so imeli že tri garniture strojev, na katerih je delalo 46 ljudi. Od teh jih je bilo 9 takih, ki so se začeli pripravljati za elektronski sistem. Tega so uvedli leta 1965, koso pridobili sistem IBM 1401'
'Znano je, da so imeli do leta 1962 IBM stroje v najemu in so redno dobivali njihovo novejše izvedbe. Po tem lotu so jih morali na podlagi veljavne zakonodaje odkupiti.'",https://www.sistory.si/cdn/publikacije/8001-9000/8017/2003_1-2_Casopis_za_zgodovino_in_narodopisje.pdf#page=131
PKZ/01,Seznam,Prispevek k zgodovini uvajanja računalniških obdelav podatkov>>,"ŠIBEK VIR.. vprašljive informacije, ki si nasprotujejo ipd.",https://www.sistory.si/cdn/publikacije/8001-9000/8017/2003_1-2_Casopis_za_zgodovino_in_narodopisje.pdf#page=131
PIO/01,Seznam,Zgodovina podjetja Pionir>>,"V letu 1970 sprejmejo »direct costing » metodo spremljanja in obračunavanja poslovanja podjetja in v ta namen nabavijo računalnik Philips data 8000-16 K,  ki začne z delom 25. marca tega leta. Potem postopoma nabavljajo še priključke zanj: luknjač, verificirko, čitalec, sortirko, leto kasneje pa je nabavljen če en računalnik istega tipa, tako da je omogočen prehod na večji računalnik. Tega mehanografski center dobi leta 1977 (IBM 370.-115). V tem času se modernizira tudi lesni obrat, ki začne s proizvodnjo harmonika vrat v večjem obsegu.'",
MON/01,Šolstvo/Znanost,"Monitor (2017, letnik 27, številka 5)",">>Zgodovina velikih računalnikov v Sloveniji
'Pri nas je IJS kupil prvi računalnik ZUSE Z23 leta 1962, deset let pozneje pa že slavni CDC Cyber 72. Vmes so prvi računalnik dobili na Fakulteti za matematiko in fiziko, leta 1974 pa na Kemijskem inštitutu, PDP 8. V 80. letih je Univerza v Ljubljani dobila DEC 10 in DEC 20, mariborska pa VAX 8800. Prvi superračunalnik v Sloveniji pa se je imenoval CONVEX C220 in so ga dobili na IJS leta 1989.'",https://www.dlib.si/stream/URN:NBN:SI:DOC-4MN7QE77/aa206423-19b2-4346-9a3d-1a7678ce42d3/PDF
MNZ/02,Javna uprava,Uroš Lipovšek-Uvajanje novih tehnologij pri operativnem delu policije,,https://repozitorij.uni-lj.si/Dokument.php?id=100105&lang=slv
MNZ/01,Javna uprava,"MNZ>>
Od mehanografske obdelave podatkov do Schengna","1957 se je začela strojna oz. mehanografska obdelava podatkov' 'potekala na strojih Zavoda za statistiko in podjetja Organizator, kasneje RSNZ stroje najel oziroma 1963 odkupil'
1968 poskusne obdelave podatkov na elektronskem računalniku IBM v organizacijah (DES,
Ljubljanska banka, Slovenija vino)'  
'1972 RSNZ dobil v najem prvi elektronski računalnik IBM 360/25.. 1976 pa dobi IBM 370/145 z možnostjo terminalne mreže..leta 1979 nabavljen dodatni računalnik IBM 3031.'",https://www.policija.si/images/stories/Publikacije/PDF/50LetInformatike.pdf
LTH/01,Seznam,Razvoj podjetja LTH 1960-1966>>,"1965 so skupaj z Jelovico in Gorenjsko predilnico kupili garnituro IBM od Organizatorja v Ljubljani. 
Motor je 58-59 neuspešno poskušal z mehanografijo, imeli so staro nepopolno garnituro Powers in neurejeno zbiranje podatkov.",http://www.dlib.si/stream/URN:NBN:SI:DOC-FQ39WHBP/1f5d24a5-42a6-484f-b310-60721c1546d3/PDF
ITST/01,Seznam,"IT STAR papers on the history of computing",">>ŠIBEK VIR 
Yugoslavia and other EU nations ",https://itf.njszt.hu/324rtr4/uploads/CEE_history_papers.pdf
INF/03,Šolstvo/Znanost,"Informatica (2014, letnik 38, številka 4)",">>A Survey of Computer Usage in Education and Research at the University of Ljubljana
'Besides the usual batch processing, the need for computer usage in process control appeared at
the Faculty for Mechanical Engineering and IJS, and hybrid computers were developed by the Faculty for Electrical Engineering. ULj bought four new small computers in order to meet these demands, one IBM 1130, one IBM System 7 and two CDC 1700 computers.'
'In the years 1971–73 Grad and Virant together designed a plan for the university terminal system oriented towards the central computer system in RCC which was accomplished by the middle of 1975.'
'UCC decided to install and use a DEC system-10 with DELTA knot computers and KOPA 1000 and LA 34 terminals, respectively. The system has been further extended in the following years, and Mr. Franc Mandelc has been appointed as the head of UCC. ULj has started a new step in computer usage in years 1987-88, when DEC-10 has been exchanged by two VAX 8550 computers and a network of over 200 terminals and personal computers. The JUPAK system of Yugoslav Post Offices enabled the UCC computer system to be connected to other computers in Slovenia, Yugoslavia'",https://www.dlib.si/stream/URN:NBN:SI:DOC-DQOUB2J8/a1a85c69-d948-470d-9b17-ed6efd4a64ee/PDF
INF/02,Šolstvo/Znanost,"
Informatica (2004, letnik 28, številka 4)",>>Computer Education and Social Changes in Slovenia,https://www.dlib.si/stream/URN:NBN:SI:DOC-LWZKOIRH/30eb63b1-b166-4249-becc-247576d2856a/PDF
INF/01,Šolstvo/Znanost,Informatica,"Informatica has been published continuously since 1977, four times a year by the Slovenian Society Informatika.",https://www.informatica.si/index.php/informatica https://www.drustvo-informatika.si/ 
IJS/04,Šolstvo/Znanost,Odsek za sisteme in vodenje + Izpis iz leksikona,">>France Bremšak
'Na Inštitutu Jožef Stefan je od leta 1950 vodil razvojno in raziskovalno dejavnost oddelka za elektrotehniko. Posvetil se je predvsem razvoju instrumentov in naprav za meritve v jedrski fiziki in za regulacijo jedrskih reaktorjev. Vodil je tudi razvoj analognega računalnika, ki je bil v svetovnem merilu med zgodnejšimi tovrstnimi napravami. Ustanovil je Odsek za analogno tehniko in servomehanizme, ki se je kasneje preoblikoval v Odsek za avtomatiko, biokibernetiko in robotiko. V okviru tega odseka je od leta 1983 delovala skupina za avtomatiko, ki je v letu 1986 prerasla v samostojni Odsek za računalniško avtomatizacijo in regulacije, danes Odsek za sisteme in vodenje.'
'Od leta 1963 je na Fakulteti za elektrotehniko v Ljubljani v okviru novoustanovljene študijske smeri avtomatika predaval teorijo regulacijskih sistemov in računalniške simulacije (en). Leta 1977 je postal redni profesor. Več let je bil predstojnik katedre za sisteme, avtomatiko in kibernetiko. Na fakulteti je ustanovil Laboratorij za analogno-hibridno računanje in avtomatsko regulacije, ki ga je opremil z za tisti čas sodobnim analogno-hibridnim računalnikom (en). Naslednika tega laboratorija sta Laboratorij za modeliranje, simulacijo in vodenje in Laboratorij za avtonomne mobilne sisteme. Ukvarjal se je tudi z vodenjem oz. regulacijo dinamičnih procesov (en) ter njihovo računalniško simulacijo z analognimi, hibridnimi in digitalnimi računalniki. Velja za začetnika in pionirja računalniške simulacije v Sloveniji.'","https://dsc.ijs.si/si/predstavitev/
https://www.leksikon.si/Oseba/OsebaId/985"
IJS/03,Šolstvo/Znanost,IJS mejniki,"1962 IJS kupi prvi računalnik za raziskovalno delo ZUSE Z 23
1969 Institut se preusmeri na nejedrske dejavnosti in iz imena izpusti besedo nuklearni
1970 Univerza v Ljubljani postane soustanovitelj poleg Zveznega izvršnega sveta
1972 Kupljen je nov računalnik Cyber 72 in ustanovljen Republiški računski center
1979 Izdelan je prvi robot v Sloveniji Goro-1
1990 Na IJS je postavljen prvi superračunalnik v Sloveniji CONVEX'",https://www.ijs.si/ijsw/Zgodovina
IJS/02,Šolstvo/Znanost,"IJS Novice 143, 2009",">>IJS dosežki v petdesetih in šestdesetih
'Tako pričnejo v petdesetih letih na inštitutu delovati betatron, elektronski mikroskop, Van de Graffov pospeševalnik, prične se jedrska magnetna resonanca, zgradi se eden prvih analognih računalnikov, na inštitutu nastanejo prvi mikroračunalniki in prvi roboti v tedanji državi ter internet, izolirana sta XeF6 in stefin. Leta 1966 prične delovati reaktor Triga v Podgorici, nastane tudi prvi digitalni osciloskop na svetu z LCD zaslonom.'",https://www.ijs.si/ijsw/Arhiv%20Novic?action=AttachFile&do=get&target=Novice143.pdf
IJS/01,Šolstvo/Znanost,Novice IJS,>>Publikacija Inštituta Jožef Stefan,https://www.ijs.si/ijsw/Arhiv%20Novic
IEU/01,Seznam,Zgodovina podjetja Intereuropa>>,"S stalnim uvajanjem tehnoloških novosti pri prevozih blaga in pri manipulaciji z blagom je Intereuropa vseskozi stopala v korak s časom. 1957 po filialah inštalirajo teleprinterje. Začetki mehanografske obdelave podatkov segajo v 1968. Nadaljujemo obdelavo na majhnem računalniku ICL 1901 pri Inženirskem biroju v Zagrebu, kjer smo ob koncu leta prekinili pogodbo. Januarja 1972 pričnemo z redno obdelavo podatkov na IBM-360 v Tomosu in nabavimo MDS stroje, hkrati se vključimo v PZ MC, Ljubljana. Med 1985 in 1989 so v Kranjski filiali dobili računalnik Honeywell 6.",https://www.intereuropa.si/si/files/default/vsebina/zgodovina/INTEREUROPA%20-%20Monografija-2008-SLO.pdf
IDPR/02,Šolstvo/Znanost,Šolski razgledi številka 17/2010,>>Pionirski koraki-40 let pouka računalništva,https://solski-razgledi.com/revija.asp?ID=201017#1
IDPR/01,Šolstvo/Znanost,Zbornik 24. mednarodne multikonference INFORMACIJSKA DRUZBA,">>50-letnica poučevanja računalništva v slovenskih srednjih šolah
>>Matematiki in računalniško izobraževanje, do 1980
ZUSE Z23 iz razstavišča ostal l. 1962 v Ljubljani in je bil instaliran na Metalurškem inštitutu LJ'",https://www.dlib.si/stream/URN:NBN:SI:DOC-EZC31J79/09ce2e7a-9036-4256-939e-2b9040d30f88/PDF
FRI/01,Šolstvo/Znanost,Zbornik ob 20 letnici FRI>>,">>FE
'Na Oddelek za šibki tok je po letu 1960 tedanja Iskra Kranj pripeljala v laboratorij star računalnik podjetja Univac(Univac 60/120, ki so ga imeli v Iskri) in za tedanji čas ne tako star češki relejski računalnik Aritma, da bi se naučili prenašanja relejskih rešitev v logične elektronske rešitve.' ",https://issuu.com/ulfri/docs/zbornik_fri20_web_100
FLRJ/01,Javna uprava,Magistrska Dejan Šemrov>>,,http://www.cek.ef.uni-lj.si/magister/semrov4765.pdf
FE/02,Šolstvo/Znanost,Zgodovina FE Laboratorij za Mikrorelektroniko>>,"Nastal je konec sedemdesetih let v sodelovanju s podjetjem American Micro-Systems, ki je financiralo izdelavo mikro-vezja. Solastništvo je Iskri omogočilo izvedbo mnogih naprednih in uspešnih proizvodov kot npr. telefonsko mini centralo, precizno tehtnico ipd. Laboratorij za mikroelektroniko je vzpostavil tehnologijo integriranih vezij, kar je bilo takrat edinstveno za jugovzhodno Evropo in pomembno sodeloval pri obrambnih sistemih.'
'Laboratorij za mikroelektroniko je v sedemdesetih letih prejšnjega stoletja razvil najmodernejšo tehnologijo tankoplastnih integriranih vezij za potrebe slovenske industrije, ki je zahtevala najvišjo stopnjo profesionalnosti in zanesljivosti. Razvili so hibridna integrirana vezja z najvišjo stopnjo zanesljivosti na primer za laserski daljinomer, ki je bil paradni konj in je postavil Iskro Elektrooptiko v vrh svetovnih dobaviteljev v obdobju poznih sedemdesetih let.'
'Načrtali in izdelali so prvi integrirani telefonski aparat v CMOS tehnologiji. Licenca za izdelavo je bila prodana v ZDA in na Japonsko. Sledile so nadaljnje verzije, ki so osvojile skoraj vse kontinente in so bile v sedemdesetih letih proizvajane v 100 milijonskih količinah. Prav tako je bil načrtan prvi 8-bitni mikroračunalnik, za tisti čas najnaprednejši, ki je vseboval vhodno-izhodne enote, programski pomnilnik, itd.'",http://lmfe.fe.uni-lj.si/o-nas/laboratorij-skozi-cas/
FE/01,Šolstvo/Znanost,Zgodovina Fakultete za Elektrotehniko>>,"Ukinitev nekaterih oddelkov je omogočila razširitev kateder ter zaposlitev  raziskovalcev, ki niso bili pedagoško obremenjeni. Takšni pogoji so omogočili, da sta se pedagoška in znanstveno-raziskovalna dejavnost leta 1974/75 skoraj izenačili. Raziskovalci so se posvetili raziskovanju mikroelektronike, računalniško usmerjenim telekomunikacijskim sistemom, biomedicini, antenam, regulaciji, meritvam, računalništvu, strojem in energetiki'
'Leta 1977/78 so preoblikovali glavno avlo v računski center'
'Istega leta so organizirali še dopolnilna izobraževanja za večje gospodarske družbe in dodatna izobraževanja iz računalništva. Tako so leta 1978/79 pripravili višješolski študij računalništva za Intertrade IBM, ter dopolnilno izobraževanje iz računalništva za Gorenje.'",https://www.fe.uni-lj.si/mma/zgodovina-fe/2021031510060557/
CHCI/02,Seznam,First real computers in Slovenia,"
'RC IJS+IMFM 1962 This was the first open-access computer centre in the then Yugoslavia.'",http://www.scholze-simmel.at/it_star/wp-content/uploads/nl_2_14.pdf
CHCI/01,Seznam,A contribution to the history of computing and informatics in West Balkan countries,">>ŠIBEK VIR 
'The first computer in today’s sense was the Zuse Z-23''it was also used in calculating the statics for the Ljubljanska banka building' 'Z-23 made a public appearance during the 1967 European Figure Skating Championship in Ljubljana where it was used for adding up the scores.''Huge breakthrough 1964 Intertrade succeeded in obtaining the license to import IBM computers and peripherals''at least the major business in Slovenia and practically every federal institution, notably the Federal Statistical Office and Public Accountancy Service, were IBM customers.'",https://www.dlib.si/stream/URN:NBN:SI:DOC-UAGSD7MU/6667ba56-6bfd-47fa-8960-4de407f183da/PDF
